type,sex,speaker,vowel,repetition,f0,f1,f2,f3
m,m,20,I,2,122,350,1980,2480
m,m,20,E,1,116,560,1670,2310
m,m,20,E,2,124,530,1700,2380
m,m,20,{,1,120,680,1470,2280
m,m,20,{,2,119,620,1580,2320
m,m,20,V,1,120,620,1100,2390
m,m,20,V,2,125,640,1110,2370
m,m,20,A,1,115,630,980,2330
m,m,20,A,2,121,670,940,2380
m,m,20,O,1,112,560,790,2480
m,m,20,O,2,120,610,840,2420
m,m,20,U,1,121,360,860,2200
m,m,20,U,2,120,400,840,2200
m,m,20,u,1,140,280,670,2140
m,m,20,u,2,126,250,720,2190
m,m,20,3',1,120,480,1410,1760
m,m,20,3',2,121,470,1330,1700
m,m,21,i,1,155,280,2400,2910
m,m,21,i,2,150,300,2320,2960
m,m,21,I,1,142,410,2060,2680
m,m,21,I,2,150,450,2050,2670
m,m,21,E,1,135,540,1900,2530
m,m,21,E,2,135,540,1920,2520
m,m,21,{,1,138,620,1800,2440
m,m,21,{,2,140,690,1820,2480
m,m,21,V,1,150,630,1200,2600
m,m,21,V,2,140,680,1290,2600
m,m,21,A,1,145,740,1110,2500
m,m,21,A,2,143,700,1060,2720
m,m,21,O,1,146,600,970,2570
m,m,21,O,2,138,650,880,2660
m,m,21,U,1,142,430,1130,2440
m,m,21,U,2,143,430,1150,2420
m,m,21,u,1,142,280,990,2330
m,m,21,u,2,145,290,1000,2300
m,m,21,3',1,150,420,1350,1600
m,m,21,3',2,150,450,1350,1600
m,m,22,i,1,135,300,2300,2800
m,m,22,i,2,135,350,2240,2760
m,m,22,I,1,136,410,2200,2680
m,m,22,I,2,138,440,2080,2520
m,m,22,E,1,133,580,1870,2320
m,m,22,E,2,127,520,1900,2400
m,m,22,{,1,130,760,1920,2480
m,m,22,{,2,132,670,1850,2560
m,m,22,V,1,139,810,1110,2100
m,m,22,V,2,131,770,1150,2100
m,m,22,A,1,141,700,1040,2120
m,m,22,A,2,125,750,1160,2080
m,m,22,O,1,133,670,920,2240
m,m,22,O,2,142,570,850,2250
m,m,22,U,1,140,550,970,2200
m,m,22,U,2,141,490,870,2240
m,m,22,u,1,150,300,600,2300
m,m,22,u,2,148,230,570,2100
m,m,22,3',1,140,560,1520,2100
m,m,22,3',2,140,540,1570,2050
m,m,23,i,1,125,240,2100,2900
m,m,23,i,2,119,240,2150,2860
m,m,23,I,1,130,380,1870,2450
m,m,23,I,2,120,430,1710,2350
m,m,23,E,1,119,580,1770,2500
m,m,23,E,2,117,570,1750,2400
m,m,23,{,1,115,760,1580,2440
m,m,23,{,2,110,715,1500,2300
m,m,23,V,1,124,620,880,2500
m,m,23,V,2,124,650,1000,2520
m,m,23,A,1,119,710,950,2520
m,m,23,A,2,120,690,960,2520
m,m,23,O,1,125,460,610,2500
m,m,23,O,2,120,470,710,2500
m,m,23,U,1,125,390,900,2100
m,m,23,U,2,125,460,920,2140
m,m,23,u,1,125,250,690,2080
m,m,23,u,2,130,270,650,2050
m,m,23,3',1,122,540,1280,1720
m,m,23,3',2,118,510,1280,1650
m,m,24,i,1,148,280,2450,2700
m,m,24,i,2,160,288,2500,2880
m,m,24,I,1,160,400,2080,2530
m,m,24,I,2,153,384,2110,2500
m,m,24,E,1,138,590,1900,2200
m,m,24,E,2,153,583,1840,2250
m,m,24,{,1,145,680,1850,2400
m,m,24,{,2,140,685,1780,2160
m,m,24,V,1,143,660,1370,2110
m,m,24,V,2,145,680,1300,2100
m,m,24,A,1,140,760,1260,2120
m,m,24,A,2,135,770,1140,2020
m,m,24,O,1,145,500,800,1850
m,m,24,O,2,132,600,1000,2000
m,m,24,U,1,157,380,1060,1950
m,m,24,U,2,150,470,1220,2150
m,m,24,u,1,162,324,800,2220
m,m,24,u,2,139,290,800,2150
m,m,24,3',1,150,560,1350,1780
m,m,24,3',2,150,600,1470,1820
m,m,25,i,1,110,250,2190,3000
m,m,25,i,2,106,254,2085,2890
m,m,25,I,1,111,330,1967,2670
m,m,25,I,2,108,430,1940,2590
m,m,25,E,1,116,464,2100,2700
m,m,25,E,2,105,504,1995,2780
m,m,25,{,1,94,595,1900,2700
m,m,25,{,2,100,670,1860,2500
m,m,25,V,1,96,620,1200,2420
m,m,25,V,2,105,630,1127,2420
m,m,25,A,1,100,750,1160,2360
m,m,25,A,2,96,740,1155,2330
m,m,25,O,1,101,460,740,2300
m,m,25,O,2,105,494,789,2420
m,m,25,U,1,113,400,1020,2200
m,m,25,U,2,128,450,1028,2160
m,m,25,u,1,140,392,1000,2120
m,m,25,u,2,116,350,898,2140
m,m,25,3',1,117,547,1340,1688
m,m,25,3',2,128,512,1280,1570
m,m,26,i,1,123,246,2185,2730
m,m,26,i,2,133,267,2280,2800
m,m,26,I,1,140,420,2300,2800
m,m,26,I,2,120,384,2110,2620
m,m,26,E,1,120,480,1920,2540
m,m,26,E,2,112,551,1788,2450
m,m,26,{,1,114,628,1837,2570
m,m,26,{,2,111,622,1890,2560
m,m,26,V,1,114,628,1254,2470
m,m,26,V,2,114,617,1255,2480
m,m,26,A,1,117,690,1072,2660
m,m,26,A,2,103,630,1000,2530
m,m,26,O,1,117,510,700,2650
m,m,26,O,2,120,504,756,2540
m,m,26,U,1,122,465,990,2440
m,m,26,U,2,125,462,976,2450
m,m,26,u,1,120,324,708,2440
m,m,26,u,2,157,387,786,2518
m,m,26,3',1,122,488,1468,1712
m,m,26,3',2,118,472,1465,1725
m,m,27,i,1,138,275,2060,2800
m,m,27,i,2,136,270,2020,2790
m,m,27,I,1,133,349,2030,2760
m,m,27,I,2,136,340,1940,2560
m,m,27,E,1,120,444,1800,2500
m,m,27,E,2,127,380,1800,2440
m,m,27,{,1,125,688,1600,2300
m,m,27,{,2,122,660,1570,2380
m,m,27,V,1,128,565,1157,2310
m,m,27,V,2,130,550,1150,2250
m,m,27,A,1,125,712,1024,2250
m,m,27,A,2,125,670,1080,2300
m,m,27,O,1,125,550,913,2360
m,m,27,O,2,126,550,890,2280
m,m,27,U,1,128,360,1028,2160
m,m,27,U,2,140,390,1060,2150
m,m,27,u,1,133,294,930,2050
m,m,27,u,2,140,280,1000,2160
m,m,27,3',1,125,440,1250,1625
m,m,27,3',2,130,480,1160,1520
m,m,28,i,1,125,320,2160,2900
m,m,28,i,2,133,267,2230,3000
m,m,28,I,1,115,440,1750,2400
m,m,28,I,2,116,390,1780,2450
m,m,28,E,1,117,525,1800,2480
m,m,28,E,2,110,520,1750,2390
m,m,28,{,1,111,660,1600,2400
m,m,28,{,2,120,720,1680,2430
m,m,28,V,1,117,600,1250,2300
m,m,28,V,2,125,575,1170,2240
m,m,28,A,1,111,730,1160,2340
m,m,28,A,2,117,860,1280,2470
m,m,28,O,1,114,560,810,2290
m,m,28,O,2,116,584,840,2280
m,m,28,U,1,130,455,970,2140
m,m,28,U,2,120,456,1040,2038
m,m,28,u,1,125,350,820,2130
m,m,28,u,2,128,366,772,2058
m,m,28,3',1,111,450,1420,1870
m,m,28,3',2,118,472,1430,1840
m,m,29,i,1,133,333,2305,3200
m,m,29,i,2,131,326,2260,3030
m,m,29,I,1,125,375,2188,2750
m,m,29,I,2,133,400,2150,2680
m,m,29,E,1,125,500,1980,2480
m,m,29,E,2,150,480,1950,2340
m,m,29,{,1,116,640,1710,2450
m,m,29,{,2,123,615,1720,2220
m,m,29,V,1,116,583,1110,2360
m,m,29,V,2,117,608,1120,2700
m,m,29,A,1,111,777,1170,2600
m,m,29,A,2,114,750,1175,2820
m,m,29,O,1,105,630,891,2519
m,m,29,O,2,114,572,924,2660
m,m,29,U,1,125,438,975,2300
m,m,29,U,2,140,420,938,2300
m,m,29,u,1,133,333,800,2130
m,m,29,u,2,140,320,840,2150
m,m,29,3',1,120,480,1320,1870
m,m,29,3',2,127,483,1335,1844
m,m,30,i,1,166,267,2300,2940
m,m,30,i,2,156,220,2300,2900
m,m,30,I,1,154,431,2040,2460
m,m,30,I,2,155,360,2010,2400
m,m,30,E,1,150,565,1950,2500
m,m,30,E,2,180,540,2000,2450
m,m,30,{,1,143,600,2000,2570
m,m,30,{,2,138,590,1950,2460
m,m,30,V,1,157,630,1140,2200
m,m,30,V,2,186,630,1170,2280
m,m,30,A,1,146,730,1048,2450
m,m,30,A,2,155,730,1130,2320
m,m,30,O,1,150,600,900,2400
m,m,30,O,2,178,640,890,2280
m,m,30,U,1,160,448,960,2200
m,m,30,U,2,196,450,1000,2180
m,m,30,u,1,167,333,835,2170
m,m,30,u,2,198,280,750,2170
m,m,30,3',1,163,488,1300,1600
m,m,30,3',2,163,490,1380,1620
m,m,31,i,1,120,312,2380,2900
m,m,31,i,2,120,300,2350,3000
m,m,31,I,1,140,490,2000,2620
m,m,31,I,2,140,490,1960,2600
m,m,31,E,1,125,640,2000,2620
m,m,31,E,2,111,555,1870,2540
m,m,31,{,1,112,697,1610,2540
m,m,31,{,2,114,684,1634,2510
m,m,31,V,1,115,633,1260,2530
m,m,31,V,2,120,660,1213,2460
m,m,31,A,1,112,730,1203,2700
m,m,31,A,2,107,752,1125,2620
m,m,31,O,1,108,507,755,2420
m,m,31,O,2,116,538,816,2450
m,m,31,U,1,114,456,1040,2300
m,m,31,U,2,120,480,1120,2160
m,m,31,u,1,123,344,960,2150
m,m,31,u,2,125,350,1000,2250
m,m,31,3',1,112,539,1370,1800
m,m,31,3',2,117,549,1353,1728
m,m,32,i,1,146,292,2500,3150
m,m,32,i,2,133,266,2370,3100
m,m,32,I,1,143,372,2220,2640
m,m,32,I,2,131,350,2130,2610
m,m,32,E,1,133,574,1840,2260
m,m,32,E,2,133,563,1960,2450
m,m,32,{,1,125,650,1738,2400
m,m,32,{,2,130,663,1820,2400
m,m,32,V,1,137,600,1370,2180
m,m,32,V,2,125,625,1312,2250
m,m,32,A,1,133,735,1070,2100
m,m,32,A,2,117,713,1180,2200
m,m,32,O,1,125,625,875,2180
m,m,32,O,2,115,700,1000,2250
m,m,32,U,1,150,420,1100,2000
m,m,32,U,2,140,420,1120,2100
m,m,32,u,1,125,350,980,2200
m,m,32,u,2,133,320,918,2100
m,m,32,3',1,143,554,1480,1800
m,m,32,3',2,128,484,1505,1890
m,m,33,i,1,143,286,2415,2860
m,m,33,i,2,150,300,2415,2860
m,m,33,I,1,140,400,1980,2500
m,m,33,I,2,145,407,2095,2620
m,m,33,E,1,125,525,1988,2610
m,m,33,E,2,144,553,1935,2530
m,m,33,{,1,133,640,1773,2490
m,m,33,{,2,133,640,1840,2560
m,m,33,V,1,143,672,1272,2640
m,m,33,V,2,146,658,1241,2560
m,m,33,A,1,130,780,1170,2640
m,m,33,A,2,131,788,1115,2645
m,m,33,O,1,138,633,891,2500
m,m,33,O,2,150,600,935,2550
m,m,33,U,1,175,490,1102,2420
m,m,33,U,2,154,492,1077,2306
m,m,33,u,1,160,320,960,2240
m,m,33,u,2,160,320,960,2290
m,m,33,3',1,143,543,1310,1643
m,m,33,3',2,145,508,1309,1600
w,f,34,i,1,230,370,2670,3100
w,f,34,i,2,234,390,2760,3060
w,f,34,I,1,234,468,2330,2930
w,f,34,I,2,205,410,2380,2950
w,f,34,E,1,190,550,2200,2880
w,f,34,E,2,191,570,2100,3040
w,f,34,{,1,200,800,1980,2810
w,f,34,{,2,192,860,1920,2850
w,f,34,V,1,227,635,1200,3250
w,f,34,V,2,200,700,1200,3100
w,f,34,A,1,210,880,1240,2870
w,f,34,A,2,188,830,1200,2880
w,f,34,O,1,207,570,830,3300
w,f,34,O,2,200,700,1000,3130
w,f,34,U,1,240,410,940,3040
w,f,34,U,2,225,450,970,3190
w,f,34,u,1,238,480,955,2960
w,f,34,u,2,208,395,810,2900
w,f,34,3',1,200,500,1850,2100
w,f,34,3',2,200,560,1750,2100
w,f,35,i,1,225,270,2760,3550
w,f,35,i,2,240,290,2700,3350
w,f,35,I,1,245,460,2500,3220
w,f,35,I,2,220,410,2400,3240
w,f,35,E,1,220,620,2300,3200
w,f,35,E,2,210,630,2300,3170
w,f,35,{,1,220,820,2180,2850
w,f,35,{,2,195,740,2120,3070
w,f,35,V,1,240,800,1300,2900
w,f,35,V,2,225,760,1400,2830
w,f,35,A,1,214,850,1120,2620
w,f,35,A,2,190,880,1220,2850
w,f,35,O,1,228,460,900,2830
w,f,35,O,2,222,440,880,2850
w,f,35,U,1,250,500,1040,2750
w,f,35,U,2,245,490,1000,2720
w,f,35,u,1,250,400,940,2720
w,f,35,u,2,245,410,860,2700
w,f,35,3',1,225,440,1560,1750
w,f,35,3',2,210,420,1600,1750
w,f,36,i,1,210,290,2700,3020
w,f,36,i,2,215,280,2630,3240
w,f,36,I,1,211,420,2300,2950
w,f,36,I,2,211,420,2220,2980
w,f,36,E,1,207,640,2120,2900
