speaker,vowel,context,f1,f2,f3,f1 glide,f2 glide,f3 glide
38,u,u,380,770,2900,,,
38,u,u,340,750,2780,,,
38,3',3',490,2120,2480,,,
38,3',3',493,1930,2300,,,
39,i,i,325,2700,3100,,,
39,i,i,310,2750,3225,,,
39,I,I,350,2580,3000,,,
39,I,I,390,2700,3200,,,
39,E,E,560,2330,2800,,,
39,E,E,520,2500,3000,,,
39,{,{,806,1970,2600,,,
39,{,{,825,1860,2550,,,
39,V,V,708,1485,2760,,,
39,V,V,676,1500,2590,,,
39,A,A,800,1200,2800,,,
39,A,A,714,1154,2850,,,
39,O,O,530,800,2780,,,
39,O,O,485,810,2750,,,
39,U,U,450,1460,2550,,,
39,U,U,467,1400,2450,,,
39,u,u,450,1080,2350,,,
39,u,u,400,1000,2400,,,
39,3',3',524,1700,2130,,,
39,3',3',507,1800,2380,,,
40,i,i,300,3100,3400,,,
40,i,i,300,3100,3500,,,
40,I,I,428,2570,3000,,,
40,I,I,440,2640,3080,,,
40,E,E,528,2540,3170,,,
40,E,E,504,2520,3200,,,
40,{,{,940,2250,2760,,,
40,{,{,820,2200,2920,,,
40,V,V,816,1450,2700,,,
40,V,V,858,1500,2700,,,
40,A,A,960,1280,3000,,,
40,A,A,1040,1300,3000,,,
40,O,O,520,880,2500,,,
40,O,O,574,890,2510,,,
40,U,U,466,1330,2750,,,
40,U,U,466,1165,2800,,,
40,u,u,300,850,2800,,,
40,u,u,350,840,2750,,,
40,3',3',432,1790,2060,,,
40,3',3',360,1900,2320,,,
41,i,i,337,2700,3300,,,
41,i,i,340,2720,3200,,,
41,I,I,474,2370,3095,,,
41,I,I,475,2400,3090,,,
41,E,E,526,2360,3090,,,
41,E,E,580,2360,3150,,,
41,{,{,690,2185,2990,,,
41,{,{,660,2200,3020,,,
41,V,V,675,1551,2923,,,
41,V,V,690,1630,2900,,,
41,A,A,845,1334,2890,,,
41,A,A,888,1290,2800,,,
41,O,O,631,923,2250,,,
41,O,O,543,980,2300,,,
41,U,U,537,1360,2920,,,
41,U,U,480,1345,2680,,,
41,u,u,400,1180,2760,,,
41,u,u,396,1120,2560,,,
41,3',3',450,1640,2250,,,
41,3',3',489,1630,2090,,,
42,i,i,225,2760,3900,,,
42,i,i,230,2850,3800,,,
42,I,I,429,2560,3200,,,
42,I,I,430,2575,3100,,,
42,E,E,579,2570,3300,,,
42,E,E,536,2570,3100,,,
42,{,{,823,2220,2870,,,
42,{,{,800,2100,2900,,,
42,V,V,750,1500,2750,,,
42,V,V,738,1300,2820,,,
42,A,A,840,1300,3100,,,
42,A,A,990,1340,3100,,,
42,O,O,579,856,2790,,,
42,O,O,545,905,2750,,,
42,U,U,490,1220,2610,,,
42,U,U,513,1500,2650,,,
42,u,u,400,1250,2500,,,
42,u,u,405,1080,2500,,,
42,3',3',466,1860,2260,,,
42,3',3',540,1780,2220,,,
43,i,i,290,3000,3840,,,
43,i,i,325,2900,3500,,,
43,I,I,500,2370,3120,,,
43,I,I,476,2380,3090,,,
43,E,E,760,2380,3205,,,
43,E,E,746,2290,3030,,,
43,{,{,1008,1990,2870,,,
43,{,{,1040,2000,2800,,,
43,V,V,830,1540,2860,,,
43,V,V,900,1510,2840,,,
43,A,A,970,1343,3018,,,
43,A,A,592,1230,2600,,,
43,O,O,650,900,2920,,,
43,O,O,687,1060,2780,,,
43,U,U,512,1211,2630,,,
43,U,U,467,1167,2595,,,
43,u,u,450,875,2750,,,
43,u,u,420,935,2710,,,
43,3',3',622,1750,2070,,,
43,3',3',652,1710,2043,,,
44,i,i,275,2800,3310,,,
44,i,i,245,2800,3300,,,
44,I,I,534,2500,3250,,,
44,I,I,528,2640,3370,,,
44,E,E,700,2380,3250,,,
44,E,E,750,2480,3000,,,
44,{,{,1020,1900,2960,,,
44,{,{,1005,2050,2870,,,
44,V,V,750,1500,2850,,,
44,V,V,850,1400,2750,,,
44,A,A,978,1290,2840,,,
44,A,A,935,1230,2730,,,
44,O,O,500,750,2750,,,
44,O,O,632,850,2850,,,
44,U,U,350,1170,2750,,,
44,U,U,450,1000,2800,,,
44,u,u,358,640,2560,,,
44,u,u,300,750,2500,,,
44,3',3',520,1560,1820,,,
44,3',3',500,1500,1750,,,
45,i,i,236,2790,3760,,,
45,i,i,242,2770,3800,,,
45,I,I,444,2555,3110,,,
45,I,I,420,2700,3120,,,
45,E,E,634,2325,2940,,,
45,E,E,608,2475,3100,,,
45,{,{,1010,2060,2900,,,
45,{,{,980,2160,2920,,,
45,V,V,818,1450,2500,,,
45,V,V,750,1280,2650,,,
45,A,A,820,1200,2640,,,
45,A,A,900,1120,2900,,,
45,O,O,440,749,2640,,,
45,O,O,567,752,2600,,,
45,U,U,460,1045,2504,,,
45,U,U,480,1105,2400,,,
45,u,u,420,1000,2500,,,
45,u,u,350,1100,2400,,,
45,3',3',487,1500,1780,,,
45,3',3',467,1420,1640,,,
46,i,i,360,2920,3400,,,
46,i,i,340,2840,3300,,,
46,I,I,514,2570,3070,,,
46,I,I,500,2680,3260,,,
46,E,E,650,2495,3090,,,
46,E,E,650,2380,3030,,,
46,{,{,1020,2030,2700,,,
46,{,{,1000,2200,2770,,,
46,V,V,788,1462,2920,,,
46,V,V,736,1500,2900,,,
46,A,A,987,1330,2830,,,
46,A,A,1009,1415,3080,,,
46,O,O,672,1084,2495,,,
46,O,O,627,1045,2504,,,
46,U,U,500,1200,2450,,,
46,U,U,460,1150,2880,,,
46,u,u,420,990,2860,,,
46,u,u,380,893,2920,,,
46,3',3',610,1630,2020,,,
46,3',3',585,1700,1850,,,
47,i,i,285,2900,3500,,,
47,i,i,310,2900,3400,,,
47,I,I,480,2670,3260,,,
47,I,I,440,2620,3380,,,
47,E,E,550,2370,3140,,,
47,E,E,520,2340,3040,,,
47,{,{,790,2180,3020,,,
47,{,{,840,2160,3020,,,
47,V,V,840,1400,2750,,,
47,V,V,760,1330,2950,,,
47,A,A,900,1290,2750,,,
47,A,A,900,1240,3110,,,
47,O,O,700,1050,2750,,,
47,O,O,720,1080,3030,,,
47,U,U,540,1200,2860,,,
47,U,U,570,1200,2970,,,
47,u,u,400,980,2630,,,
47,u,u,440,990,2900,,,
47,3',3',570,2000,2480,,,
47,3',3',510,1850,2350,,,
48,i,i,340,2750,3120,,,
48,i,i,360,2760,3120,,,
48,I,I,480,2390,2950,,,
48,I,I,520,2450,3000,,,
48,E,E,620,2520,2920,,,
48,E,E,620,2440,2880,,,
48,{,{,1110,2160,2700,,,
48,{,{,1070,1960,2750,,,
48,V,V,820,1240,2600,,,
48,V,V,860,1300,2670,,,
48,A,A,840,1110,2930,,,
48,A,A,850,1120,2850,,,
48,O,O,500,700,2930,,,
48,O,O,380,720,2700,,,
48,U,U,400,940,2820,,,
48,U,U,380,860,2680,,,
48,u,u,330,760,2870,,,
48,u,u,350,710,2760,,,
48,3',3',550,1780,2080,,,
48,3',3',600,1750,2000,,,
49,i,i,320,2360,2980,,,
49,i,i,304,2380,3050,,,
49,I,I,444,2220,2740,,,
49,I,I,420,2090,2780,,,
49,E,E,500,2350,2830,,,
49,E,E,600,2200,2700,,,
49,{,{,845,1700,2300,,,
49,{,{,860,1724,2530,,,
49,V,V,720,1440,2380,,,
49,V,V,707,1470,2440,,,
49,A,A,700,1080,2420,,,
49,A,A,767,1150,2590,,,
49,O,O,600,860,2410,,,
49,O,O,600,900,2400,,,
49,U,U,546,1090,2400,,,
49,U,U,462,1240,2310,,,
49,u,u,360,930,2260,,,
49,u,u,440,1100,2300,,,
49,3',3',540,1400,1800,,,
49,3',3',460,1350,1560,,,
50,i,i,406,2600,2945,,,
50,i,i,400,2600,3100,,,
50,I,I,460,2300,2800,,,
50,I,I,420,2305,2835,,,
50,E,E,570,2100,2720,,,
50,E,E,538,2175,2880,,,
50,{,{,850,1853,2685,,,
50,{,{,830,1800,2620,,,
50,V,V,720,1500,2560,,,
50,V,V,800,1400,2420,,,
50,A,A,915,1280,2530,,,
50,A,A,723,1196,2600,,,
50,O,O,575,1073,2490,,,
50,O,O,600,1100,2600,,,
50,U,U,520,1210,2420,,,
50,U,U,468,1275,2550,,,
50,u,u,370,1000,2470,,,
50,u,u,330,970,2460,,,
50,3',3',560,1600,1900,,,
50,3',3',514,1540,1955,,,
51,i,i,380,2880,3360,,,
51,i,i,380,2820,3300,,,
51,I,I,514,2600,2930,,,
51,I,I,473,2660,2970,,,
51,E,E,567,2460,3122,,,
51,E,E,521,2460,2920,,,
51,{,{,808,2070,2880,,,
51,{,{,678,2420,3080,,,
51,V,V,800,1340,2700,,,
51,V,V,772,1280,2660,,,
51,A,A,843,1190,2860,,,
51,A,A,740,1160,2780,,,
51,O,O,623,1022,2700,,,
51,O,O,594,990,2640,,,
51,U,U,480,960,2820,,,
51,U,U,484,900,2640,,,
51,u,u,370,933,2520,,,
51,u,u,325,750,2500,,,
51,3',3',450,1680,2050,,,
51,3',3',466,1630,1865,,,
52,i,i,320,2750,3100,,,
52,i,i,356,2755,3200,,,
52,I,I,388,2622,3050,,,
52,I,I,426,2460,3040,,,
52,E,E,592,2242,2765,,,
52,E,E,535,2290,2870,,,
52,{,{,750,2060,2770,,,
52,{,{,650,2110,2618,,,
52,V,V,618,1518,2700,,,
52,V,V,624,1430,2660,,,
52,A,A,766,1180,2340,,,
52,A,A,750,1065,2640,,,
52,O,O,595,918,2600,,,
52,O,O,630,985,2630,,,
52,U,U,420,1200,2600,,,
52,U,U,460,1260,2640,,,
52,u,u,375,1124,2685,,,
52,u,u,375,1143,2700,,,
52,3',3',504,1565,1835,,,
52,3',3',513,1578,1830,,,
53,i,i,357,2800,3360,,,
53,i,i,340,2860,3350,,,
53,I,I,480,2600,3060,,,
53,I,I,465,2598,3060,,,
53,E,E,700,2350,2980,,,
53,E,E,737,2325,3100,,,
53,{,{,960,2100,3000,,,
53,{,{,1030,2200,3260,,,
53,V,V,920,1512,2950,,,
53,V,V,910,1688,3050,,,
53,A,A,990,1237,2360,,,
53,A,A,987,1172,3180,,,
53,O,O,587,1068,3270,,,
53,O,O,560,990,3150,,,
53,U,U,520,1350,3190,,,
53,U,U,510,1415,3130,,,
53,u,u,420,1045,3060,,,
53,u,u,390,960,3030,,,
53,3',3',460,1860,2250,,,
53,3',3',504,1820,2290,,,
54,i,i,240,2760,3700,,,
54,i,i,220,2850,3800,,,
54,I,I,319,2500,3020,,,
54,I,I,324,2500,3010,,,
54,E,E,616,2380,2900,,,
54,E,E,615,2300,2800,,,
54,{,{,710,2120,2600,,,
54,{,{,690,2250,2680,,,
54,V,V,800,1520,2380,,,
54,V,V,780,1470,2400,,,
54,A,A,995,1392,2290,,,
54,A,A,1000,1400,2440,,,
54,O,O,656,944,2250,,,
54,O,O,720,960,2380,,,
54,U,U,335,1049,2470,,,
54,U,U,420,1009,2300,,,
54,u,u,329,877,2550,,,
54,u,u,340,900,2530,,,
54,3',3',400,1380,1560,,,
54,3',3',400,1240,1480,,,
55,i,i,286,2800,3550,,,
55,i,i,289,2800,3400,,,
55,I,I,383,2420,3080,,,
55,I,I,384,2400,3050,,,
55,E,E,418,2430,3110,,,
55,E,E,460,2300,3050,,,
55,{,{,861,2100,2800,,,
55,{,{,896,2040,3000,,,
55,V,V,654,1160,2800,,,
55,V,V,690,1195,2770,,,
55,A,A,860,1103,2700,,,
55,A,A,806,1060,2850,,,
55,O,O,606,910,2900,,,
55,O,O,583,860,2840,,,
55,U,U,340,900,2650,,,
55,U,U,470,1100,2560,,,
55,u,u,308,1025,2650,,,
55,u,u,329,1151,2560,,,
55,3',3',533,1425,1830,,,
55,3',3',535,1412,1800,,,
56,i,i,307,2670,3150,,,
56,i,i,340,2700,3250,,,
56,I,I,417,2300,3000,,,
56,I,I,410,2200,2910,,,
56,E,E,644,2250,3000,,,
56,E,E,670,2300,2880,,,
56,{,{,784,1800,2750,,,
56,{,{,820,1750,2890,,,
56,V,V,765,1300,2700,,,
56,V,V,730,1390,2790,,,
56,A,A,834,1282,2800,,,
56,A,A,850,1270,2760,,,
56,O,O,688,1029,2750,,,
56,O,O,670,1040,2640,,,
56,U,U,427,1506,2640,,,
56,U,U,460,1370,2610,,,
56,u,u,378,1416,2580,,,
56,u,u,380,1430,2610,,,
56,3',3',460,1200,1909,,,
56,3',3',410,1580,1800,,,
57,i,i,384,2860,3210,,,
57,i,i,375,3000,3400,,,
57,I,I,460,2665,3140,,,
57,I,I,467,2680,3150,,,
57,E,E,640,2400,2860,,,
57,E,E,630,2530,3030,,,
57,{,{,700,2560,3150,,,
57,{,{,675,2510,3145,,,
57,V,V,768,1440,2855,,,
57,V,V,794,1447,2920,,,
57,A,A,978,1362,2724,,,
57,A,A,933,1350,2610,,,
57,O,O,700,1080,2810,,,
57,O,O,720,1090,2840,,,
57,U,U,500,1215,2870,,,
57,U,U,500,1240,2860,,,
57,u,u,470,1000,2820,,,
57,u,u,378,950,2990,,,
57,3',3',480,1410,1700,,,
57,3',3',493,1580,1775,,,
58,i,i,320,2900,3200,,,
58,i,i,290,2750,3050,,,
58,I,I,460,2380,2940,,,
58,I,I,480,2260,2980,,,
58,E,E,640,2220,2900,,,
58,E,E,670,2250,2960,,,
58,{,{,950,1970,2890,,,
58,{,{,980,1950,2920,,,
58,V,V,750,1280,2760,,,
58,V,V,770,1340,2800,,,
58,A,A,950,1130,3160,,,
58,A,A,850,1150,2940,,,
58,O,O,530,870,2680,,,
58,O,O,600,900,2770,,,
58,U,U,600,1225,2500,,,
58,U,U,630,1320,2560,,,
58,u,u,440,1290,2530,,,
58,u,u,460,1080,2640,,,
58,3',3',600,1500,2000,,,
58,3',3',610,1520,1950,,,
59,i,i,280,2690,3040,,,
59,i,i,280,2740,2980,,,
59,I,I,470,2500,3400,,,
59,I,I,440,2480,3240,,,
59,E,E,730,2300,3100,,,
59,E,E,750,2340,3120,,,
59,{,{,860,2070,2880,,,
59,{,{,890,1920,2710,,,
59,V,V,770,1540,2840,,,
59,V,V,800,1410,2860,,,
59,A,A,790,1250,3080,,,
59,A,A,820,1210,2960,,,
59,O,O,408,695,3040,,,
59,O,O,420,590,3100,,,
59,U,U,500,1230,2520,,,
59,U,U,480,1230,2750,,,
59,u,u,419,1050,2850,,,
59,u,u,390,1060,2800,,,
59,3',3',420,1720,1900,,,
59,3',3',510,1680,1890,,,
60,i,i,270,2820,3450,,,
60,i,i,250,2880,3350,,,
60,I,I,370,2530,3060,,,
60,I,I,400,2600,3120,,,
60,E,E,640,2360,3020,,,
60,E,E,650,2430,3040,,,
60,{,{,900,2090,3000,,,
60,{,{,860,2160,2870,,,
60,V,V,750,1540,2800,,,
60,V,V,770,1530,2780,,,
60,A,A,920,1350,2550,,,
60,A,A,920,1470,2690,,,
60,O,O,720,1110,2420,,,
60,O,O,700,1100,2780,,,
60,U,U,470,1200,2900,,,
60,U,U,470,1190,2800,,,
60,u,u,380,980,3100,,,
60,u,u,340,920,3050,,,
60,3',3',530,1670,2050,,,
60,3',3',500,1720,1900,,,
61,i,i,310,2740,3200,,,
61,i,i,262,2680,3170,,,
61,I,I,450,2310,3020,,,
61,I,I,472,2270,2950,,,
61,E,E,640,1980,2920,,,
61,E,E,700,2110,2940,,,
61,{,{,810,1860,2620,,,
61,{,{,890,1800,2700,,,
61,V,V,710,1340,2780,,,
61,V,V,740,1470,2940,,,
61,A,A,830,1020,2650,,,
61,A,A,830,1095,2610,,,
61,O,O,600,850,2760,,,
61,O,O,455,810,2750,,,
61,U,U,400,1070,2530,,,
61,U,U,450,1050,2450,,,
61,u,u,290,670,2380,,,
61,u,u,330,630,2460,,,
61,3',3',500,1630,2040,,,
61,3',3',490,1580,2190,,,
