Speaker	Vowel	Context	F1'	F2'	F1' gl	F2' gl
3	u	u	412.777	1139.569	NA	NA
3	3'	3'	633.094	1734.677	NA	NA
3	3'	3'	671.079	1684.029	NA	NA
4	i	i	361.934	2702.443	NA	NA
4	i	i	337.805	2955.797	NA	NA
4	I	I	542.902	2364.638	NA	NA
4	I	I	530.837	2473.218	NA	NA
4	E	E	687.675	2147.477	NA	NA
4	E	E	669.579	2280.186	NA	NA
4	{	{	904.836	1942.381	NA	NA
4	{	{	928.965	1906.188	NA	NA
4	V	V	796.256	1447.737	NA	NA
4	V	V	814.352	1375.351	NA	NA
4	A	A	904.836	1327.093	NA	NA
4	A	A	965.158	1351.222	NA	NA
4	O	O	651.482	1025.481	NA	NA
4	O	O	669.579	1073.739	NA	NA
4	U	U	554.966	1158.19	NA	NA
4	U	U	554.966	1206.448	NA	NA
4	u	u	458.45	1146.125	NA	NA
4	u	u	464.482	1025.481	NA	NA
4	3'	3'	711.804	1689.027	NA	NA
4	3'	3'	669.579	1725.22	NA	NA
5	i	i	372.737	2777.494	NA	NA
5	i	i	312.618	2705.351	NA	NA
5	I	I	529.046	2476.899	NA	NA
5	I	I	517.023	2260.471	NA	NA
5	E	E	697.379	2296.543	NA	NA
5	E	E	661.308	2128.21	NA	NA
5	{	{	997.974	2068.091	NA	NA
5	{	{	901.784	2032.019	NA	NA
5	V	V	757.498	1563.092	NA	NA
5	V	V	781.546	1406.783	NA	NA
5	A	A	913.808	1466.902	NA	NA
5	A	A	865.712	1514.997	NA	NA
5	O	O	649.284	1166.307	NA	NA
5	O	O	661.308	1058.093	NA	NA
5	U	U	565.118	1250.473	NA	NA
5	U	U	589.165	1190.355	NA	NA
5	u	u	456.904	1142.259	NA	NA
5	u	u	396.785	961.903	NA	NA
5	3'	3'	673.332	1815.591	NA	NA
5	3'	3'	613.213	1755.472	NA	NA
6	i	i	380.147	2863.288	NA	NA
6	i	i	402.079	2960.761	NA	NA
6	I	I	511.737	2436.841	NA	NA
6	I	I	381.366	2436.841	NA	NA
6	E	E	731.052	2266.262	NA	NA
6	E	E	694.5	2229.709	NA	NA
6	{	{	823.652	2034.762	NA	NA
6	{	{	883.355	2055.475	NA	NA
6	V	V	828.526	1401.183	NA	NA
6	V	V	884.573	1547.394	NA	NA
6	A	A	901.631	1340.262	NA	NA
6	A	A	816.342	1169.683	NA	NA
6	O	O	804.157	1254.973	NA	NA
6	O	O	877.263	1169.683	NA	NA
6	U	U	555.6	1315.894	NA	NA
6	U	U	548.289	1388.999	NA	NA
6	u	u	381.366	1021.036	NA	NA
6	u	u	350.905	1142.878	NA	NA
6	3'	3'	612.865	1590.038	NA	NA
6	3'	3'	615.302	1608.315	NA	NA
7	i	i	387.173	2807.007	NA	NA
7	i	i	375.074	2758.611	NA	NA
7	I	I	568.661	2419.834	NA	NA
7	I	I	496.066	2468.231	NA	NA
7	E	E	762.248	2298.842	NA	NA
7	E	E	742.889	2226.247	NA	NA
7	{	{	895.339	2177.851	NA	NA
7	{	{	937.686	2189.95	NA	NA
7	V	V	750.149	1500.297	NA	NA
7	V	V	774.347	1512.396	NA	NA
7	A	A	786.446	1173.619	NA	NA
7	A	A	786.446	1185.719	NA	NA
7	O	O	520.264	871.14	NA	NA
7	O	O	617.058	967.934	NA	NA
7	U	U	556.562	1355.107	NA	NA
7	U	U	596.489	1355.107	NA	NA
7	u	u	459.768	1258.314	NA	NA
7	u	u	483.967	1209.917	NA	NA
7	3'	3'	689.653	1572.892	NA	NA
7	3'	3'	683.603	1657.586	NA	NA
8	i	i	299.399	3228.306	NA	NA
8	i	i	283.779	3098.133	NA	NA
8	I	I	416.556	2863.82	NA	NA
8	I	I	268.158	2772.699	NA	NA
8	E	E	559.747	2733.647	NA	NA
8	E	E	670.394	2291.056	NA	NA
8	{	{	669.093	2681.577	NA	NA
8	{	{	718.559	2369.16	NA	NA
8	V	V	833.111	1692.257	NA	NA
8	V	V	812.284	1757.344	NA	NA
8	A	A	929.44	1523.032	NA	NA
8	A	A	846.129	1496.997	NA	NA
8	O	O	768.025	1256.176	NA	NA
8	O	O	752.404	1262.684	NA	NA
8	U	U	607.911	1444.928	NA	NA
8	U	U	618.325	1588.119	NA	NA
8	u	u	351.469	1184.58	NA	NA
8	u	u	338.451	1269.193	NA	NA
8	3'	3'	598.799	1822.431	NA	NA
8	3'	3'	553.238	1835.448	NA	NA
9	i	i	391.681	2726.895	NA	NA
9	i	i	347.059	2819.857	NA	NA
9	I	I	557.774	2255.886	NA	NA
9	I	I	537.942	2293.07	NA	NA
9	E	E	721.388	2138.133	NA	NA
9	E	E	726.346	2231.096	NA	NA
9	{	{	743.699	2169.121	NA	NA
9	{	{	721.388	2200.108	NA	NA
9	V	V	775.925	1394.435	NA	NA
9	V	V	794.518	1388.237	NA	NA
9	A	A	877.564	1306.43	NA	NA
9	A	A	873.846	1301.472	NA	NA
9	O	O	761.051	1051.094	NA	NA
9	O	O	743.699	1065.968	NA	NA
9	U	U	619.749	1239.498	NA	NA
9	U	U	619.749	1239.498	NA	NA
9	u	u	413.992	1425.422	NA	NA
9	u	u	386.723	1264.288	NA	NA
9	3'	3'	642.06	1617.544	NA	NA
9	3'	3'	624.707	1499.792	NA	NA
10	i	i	331.866	2884.685	NA	NA
10	i	i	319.102	2808.1	NA	NA
10	I	I	510.564	2603.875	NA	NA
10	I	I	496.523	2552.818	NA	NA
10	E	E	638.205	2386.885	NA	NA
10	E	E	638.205	2265.626	NA	NA
10	{	{	842.43	2106.075	NA	NA
10	{	{	796.479	2169.896	NA	NA
10	V	V	829.666	1557.219	NA	NA
10	V	V	857.747	1608.276	NA	NA
10	A	A	957.307	1378.522	NA	NA
10	A	A	991.77	1309.596	NA	NA
10	O	O	740.317	1021.127	NA	NA
10	O	O	746.699	1045.379	NA	NA
10	U	U	612.676	1212.589	NA	NA
10	U	U	588.425	1267.474	NA	NA
10	u	u	357.395	1212.589	NA	NA
10	u	u	339.525	1174.296	NA	NA
10	3'	3'	638.205	1710.388	NA	NA
10	3'	3'	679.05	1627.422	NA	NA
11	i	i	314.958	2825.729	NA	NA
11	i	i	302.258	2762.23	NA	NA
11	I	I	514.346	2444.732	NA	NA
11	I	I	528.316	2463.782	NA	NA
11	E	E	746.754	2273.283	NA	NA
11	E	E	744.215	2190.734	NA	NA
11	{	{	920.743	2158.984	NA	NA
11	{	{	901.693	2095.485	NA	NA
11	V	V	744.215	1369.05	NA	NA
11	V	V	796.284	1318.25	NA	NA
11	A	A	920.743	1328.41	NA	NA
11	A	A	947.413	1292.85	NA	NA
11	O	O	711.195	1066.792	NA	NA
11	O	O	711.195	1173.471	NA	NA
11	U	U	628.645	1371.59	NA	NA
11	U	U	546.096	1308.09	NA	NA
11	u	u	368.297	965.193	NA	NA
11	u	u	400.047	1079.492	NA	NA
11	3'	3'	648.965	1982.455	NA	NA
11	3'	3'	673.095	1841.486	NA	NA
12	i	i	278.547	3051.36	NA	NA
12	i	i	303.87	3089.344	NA	NA
12	I	I	569.756	2380.314	NA	NA
12	I	I	481.127	2443.621	NA	NA
12	E	E	709.03	2089.106	NA	NA
12	E	E	709.03	2177.734	NA	NA
12	{	{	860.965	2177.734	NA	NA
12	{	{	797.659	2127.089	NA	NA
12	V	V	709.03	1810.558	NA	NA
12	V	V	709.03	1759.913	NA	NA
12	A	A	1012.9	1683.946	NA	NA
12	A	A	936.932	1569.995	NA	NA
12	O	O	759.675	1164.835	NA	NA
12	O	O	734.352	1152.173	NA	NA
12	U	U	506.45	1519.35	NA	NA
12	U	U	531.772	1557.333	NA	NA
12	u	u	379.837	1139.512	NA	NA
12	u	u	329.192	1278.786	NA	NA
12	3'	3'	506.45	1835.881	NA	NA
12	3'	3'	455.805	1785.236	NA	NA
13	i	i	382.541	3020.758	NA	NA
13	i	i	342.968	3020.758	NA	NA
13	I	I	514.452	2572.261	NA	NA
13	I	I	527.643	2506.306	NA	NA
13	E	E	646.363	2295.248	NA	NA
13	E	E	659.554	2348.013	NA	NA
13	{	{	870.611	2150.147	NA	NA
13	{	{	883.803	2150.147	NA	NA
13	V	V	791.465	1609.312	NA	NA
13	V	V	791.465	1596.121	NA	NA
13	A	A	896.994	1477.401	NA	NA
13	A	A	883.803	1451.019	NA	NA
13	O	O	672.745	949.758	NA	NA
13	O	O	633.172	936.567	NA	NA
13	U	U	501.261	1200.389	NA	NA
13	U	U	580.408	1358.682	NA	NA
13	u	u	461.688	949.758	NA	NA
13	u	u	501.261	976.14	NA	NA
13	3'	3'	567.217	1807.178	NA	NA
13	3'	3'	580.408	1793.987	NA	NA
14	i	i	311.819	3213.922	NA	NA
14	i	i	300.878	3213.922	NA	NA
14	I	I	556.624	2830.986	NA	NA
14	I	I	574.403	2598.49	NA	NA
14	E	E	608.594	2762.605	NA	NA
14	E	E	642.784	2762.605	NA	NA
14	{	{	986.059	2297.612	NA	NA
14	{	{	1025.72	2338.641	NA	NA
14	V	V	754.93	1534.477	NA	NA
14	V	V	793.223	1572.77	NA	NA
14	A	A	938.192	1474.301	NA	NA
14	A	A	957.338	1436.008	NA	NA
14	O	O	765.871	909.472	NA	NA
14	O	O	752.194	888.957	NA	NA
14	U	U	612.697	1340.274	NA	NA
14	U	U	560.727	1285.569	NA	NA
14	u	u	317.289	951.868	NA	NA
14	u	u	303.613	909.472	NA	NA
14	3'	3'	590.815	1777.914	NA	NA
14	3'	3'	574.403	1777.914	NA	NA
15	i	i	331.438	3026.17	NA	NA
15	i	i	345.848	2882.067	NA	NA
15	I	I	525.977	2737.963	NA	NA
15	I	I	432.31	2939.708	NA	NA
15	E	E	634.055	2853.246	NA	NA
15	E	E	590.824	2954.118	NA	NA
15	{	{	893.441	2464.167	NA	NA
15	{	{	951.082	2593.86	NA	NA
15	V	V	951.082	1441.033	NA	NA
15	V	V	951.082	1383.392	NA	NA
15	A	A	864.62	1196.058	NA	NA
15	A	A	893.441	1181.647	NA	NA
15	O	O	720.517	893.441	NA	NA
15	O	O	792.568	1008.723	NA	NA
15	U	U	562.003	1051.954	NA	NA
15	U	U	518.772	1066.365	NA	NA
15	u	u	374.669	1037.544	NA	NA
15	u	u	374.669	1066.365	NA	NA
15	3'	3'	648.465	1772.471	NA	NA
15	3'	3'	662.875	1873.343	NA	NA
16	i	i	337.696	2650.917	NA	NA
16	i	i	337.696	2769.111	NA	NA
16	I	I	433.377	2523.718	NA	NA
16	I	I	458.141	2532.723	NA	NA
16	E	E	567.33	2352.618	NA	NA
16	E	E	611.231	2228.796	NA	NA
16	{	{	765.445	2204.032	NA	NA
16	{	{	796.964	2071.205	NA	NA
16	V	V	759.817	1485.864	NA	NA
16	V	V	792.461	1568.037	NA	NA
16	A	A	928.665	1314.765	NA	NA
16	A	A	945.55	1362.042	NA	NA
16	O	O	755.314	1125.655	NA	NA
16	O	O	776.702	1089.634	NA	NA
16	U	U	498.665	1432.959	NA	NA
16	U	U	516.676	1447.592	NA	NA
16	u	u	444.634	1463.351	NA	NA
16	u	u	450.262	1485.864	NA	NA
16	3'	3'	598.848	1688.482	NA	NA
16	3'	3'	605.602	1643.456	NA	NA
17	i	i	335.913	2913.787	NA	NA
17	i	i	325.733	2932.873	NA	NA
17	I	I	483.511	2392.105	NA	NA
17	I	I	440.249	2455.725	NA	NA
17	E	E	648.922	2264.865	NA	NA
17	E	E	661.646	2201.245	NA	NA
17	{	{	801.61	2252.141	NA	NA
17	{	{	801.61	2089.274	NA	NA
17	V	V	764.71	1619.76	NA	NA
17	V	V	750.714	1632.484	NA	NA
17	A	A	954.297	1463.256	NA	NA
17	A	A	894.494	1389.457	NA	NA
17	O	O	718.904	992.469	NA	NA
17	O	O	743.079	1080.264	NA	NA
17	U	U	534.406	1399.636	NA	NA
17	U	U	536.951	1526.875	NA	NA
17	u	u	400.805	1374.188	NA	NA
17	u	u	414.801	1431.446	NA	NA
17	3'	3'	564.944	1654.115	NA	NA
17	3'	3'	596.754	1638.846	NA	NA
18	i	i	307.092	3070.92	NA	NA
18	i	i	321.715	3041.673	NA	NA
18	I	I	409.456	2924.686	NA	NA
18	I	I	453.326	2851.568	NA	NA
18	E	E	687.301	2793.075	NA	NA
18	E	E	716.548	2822.322	NA	NA
18	{	{	935.899	2368.995	NA	NA
18	{	{	950.523	2310.502	NA	NA
18	V	V	892.029	1608.577	NA	NA
18	V	V	906.653	1637.824	NA	NA
18	A	A	1023.64	1608.577	NA	NA
18	A	A	979.77	1608.577	NA	NA
18	O	O	672.678	1052.887	NA	NA
18	O	O	687.301	1009.017	NA	NA
18	U	U	467.95	1126.004	NA	NA
18	U	U	453.326	1155.251	NA	NA
18	u	u	307.092	979.77	NA	NA
18	u	u	350.962	1067.51	NA	NA
18	3'	3'	570.314	1930.292	NA	NA
18	3'	3'	614.184	1813.305	NA	NA
19	i	i	272.45	3799.962	NA	NA
19	i	i	272.45	3871.659	NA	NA
19	I	I	530.561	2509.409	NA	NA
19	I	I	530.561	2581.106	NA	NA
19	E	E	530.561	2409.032	NA	NA
19	E	E	537.73	2437.711	NA	NA
19	{	{	788.671	2251.298	NA	NA
19	{	{	759.992	2308.656	NA	NA
19	V	V	817.35	1505.645	NA	NA
19	V	V	846.029	1577.343	NA	NA
19	A	A	917.727	1390.929	NA	NA
19	A	A	960.745	1405.269	NA	NA
19	O	O	803.011	1233.195	NA	NA
19	O	O	817.35	1175.837	NA	NA
19	U	U	501.882	1433.948	NA	NA
19	U	U	544.9	1319.232	NA	NA
19	u	u	358.487	1433.948	NA	NA
19	u	u	301.129	1376.59	NA	NA
19	3'	3'	516.221	1864.132	NA	NA
19	3'	3'	530.561	1864.132	NA	NA
20	i	i	340.523	2969.362	NA	NA
20	i	i	354.144	3010.224	NA	NA
20	I	I	544.837	2587.976	NA	NA
20	I	I	476.732	2696.943	NA	NA
20	E	E	762.772	2274.694	NA	NA
20	E	E	721.909	2315.557	NA	NA
20	{	{	926.223	2002.276	NA	NA
20	{	{	844.497	2152.106	NA	NA
20	V	V	844.497	1498.302	NA	NA
20	V	V	871.739	1511.923	NA	NA
20	A	A	858.118	1334.851	NA	NA
20	A	A	912.602	1280.367	NA	NA
20	O	O	762.772	1076.053	NA	NA
20	O	O	830.876	1144.158	NA	NA
20	U	U	490.353	1171.4	NA	NA
20	U	U	544.837	1144.158	NA	NA
20	u	u	381.386	912.602	NA	NA
20	u	u	340.523	980.707	NA	NA
20	3'	3'	653.804	1920.55	NA	NA
20	3'	3'	640.183	1811.583	NA	NA
21	i	i	345.092	2957.931	NA	NA
21	i	i	369.741	2859.333	NA	NA
21	I	I	505.313	2538.89	NA	NA
21	I	I	554.612	2526.566	NA	NA
21	E	E	665.534	2341.695	NA	NA
21	E	E	665.534	2366.344	NA	NA
21	{	{	764.132	2218.448	NA	NA
21	{	{	850.405	2243.097	NA	NA
21	V	V	776.457	1478.965	NA	NA
21	V	V	838.08	1589.888	NA	NA
21	A	A	912.029	1368.043	NA	NA
21	A	A	862.73	1306.419	NA	NA
21	O	O	739.483	1195.497	NA	NA
21	O	O	801.106	1084.575	NA	NA
21	U	U	529.963	1392.692	NA	NA
21	U	U	529.963	1417.342	NA	NA
21	u	u	345.092	1220.146	NA	NA
21	u	u	357.417	1232.471	NA	NA
21	3'	3'	517.638	1663.836	NA	NA
21	3'	3'	554.612	1663.836	NA	NA
22	i	i	368.757	2827.138	NA	NA
22	i	i	430.217	2753.387	NA	NA
22	I	I	503.968	2704.219	NA	NA
22	I	I	540.844	2556.716	NA	NA
22	E	E	712.93	2298.586	NA	NA
22	E	E	639.179	2335.462	NA	NA
22	{	{	934.185	2360.046	NA	NA
22	{	{	823.558	2274.002	NA	NA
22	V	V	995.644	1364.401	NA	NA
22	V	V	946.477	1413.569	NA	NA
22	A	A	860.433	1278.358	NA	NA
22	A	A	921.893	1425.861	NA	NA
22	O	O	823.558	1130.855	NA	NA
22	O	O	700.639	1044.812	NA	NA
22	U	U	676.055	1192.315	NA	NA
22	U	U	602.303	1069.396	NA	NA
22	u	u	368.757	737.514	NA	NA
22	u	u	282.714	700.639	NA	NA
22	3'	3'	688.347	1868.369	NA	NA
22	3'	3'	663.763	1929.829	NA	NA
23	i	i	330.404	2891.037	NA	NA
23	i	i	330.404	2959.872	NA	NA
23	I	I	523.14	2574.4	NA	NA
23	I	I	591.974	2354.13	NA	NA
23	E	E	798.477	2436.732	NA	NA
23	E	E	784.71	2409.198	NA	NA
23	{	{	1046.28	2175.161	NA	NA
23	{	{	984.329	2065.027	NA	NA
23	V	V	853.544	1211.482	NA	NA
23	V	V	894.845	1376.684	NA	NA
23	A	A	977.446	1307.85	NA	NA
23	A	A	949.912	1321.617	NA	NA
23	O	O	633.275	839.778	NA	NA
23	O	O	647.042	977.446	NA	NA
23	U	U	536.907	1239.016	NA	NA
23	U	U	633.275	1266.55	NA	NA
23	u	u	344.171	949.912	NA	NA
23	u	u	371.705	894.845	NA	NA
23	3'	3'	743.41	1762.156	NA	NA
23	3'	3'	702.109	1762.156	NA	NA
24	i	i	339.633	2971.793	NA	NA
24	i	i	349.337	3032.441	NA	NA
24	I	I	485.191	2522.991	NA	NA
24	I	I	465.783	2559.381	NA	NA
24	E	E	715.656	2304.656	NA	NA
24	E	E	707.165	2231.877	NA	NA
24	{	{	824.824	2244.007	NA	NA
24	{	{	830.889	2159.098	NA	NA
24	V	V	800.565	1661.778	NA	NA
24	V	V	824.824	1576.87	NA	NA
24	A	A	921.862	1528.351	NA	NA
24	A	A	933.992	1382.793	NA	NA
24	O	O	606.488	970.381	NA	NA
24	O	O	727.786	1212.977	NA	NA
24	U	U	460.931	1285.755	NA	NA
24	U	U	570.099	1479.831	NA	NA
24	u	u	393.004	970.381	NA	NA
24	u	u	351.763	970.381	NA	NA
24	3'	3'	679.267	1637.518	NA	NA
24	3'	3'	727.786	1783.076	NA	NA
25	i	i	318.635	2791.244	NA	NA
25	i	i	323.733	2657.418	NA	NA
25	I	I	420.598	2507.022	NA	NA
25	I	I	548.053	2472.609	NA	NA
25	E	E	591.387	2676.536	NA	NA
25	E	E	642.369	2542.709	NA	NA
25	{	{	758.352	2421.627	NA	NA
25	{	{	853.942	2370.646	NA	NA
25	V	V	790.215	1529.449	NA	NA
25	V	V	802.961	1436.407	NA	NA
25	A	A	955.906	1478.467	NA	NA
25	A	A	943.16	1472.095	NA	NA
25	O	O	586.289	943.16	NA	NA
25	O	O	629.623	1005.613	NA	NA
25	U	U	509.816	1300.032	NA	NA
25	U	U	573.543	1310.228	NA	NA
25	u	u	499.62	1274.541	NA	NA
25	u	u	446.089	1144.538	NA	NA
25	3'	3'	697.174	1707.885	NA	NA
25	3'	3'	652.565	1631.412	NA	NA
26	i	i	316.397	2810.274	NA	NA
26	i	i	343.406	2932.46	NA	NA
26	I	I	540.19	2958.183	NA	NA
26	I	I	493.888	2713.811	NA	NA
26	E	E	617.36	2469.44	NA	NA
26	E	E	708.678	2299.666	NA	NA
26	{	{	807.713	2362.688	NA	NA
26	{	{	799.996	2430.855	NA	NA
26	V	V	807.713	1612.853	NA	NA
26	V	V	793.565	1614.139	NA	NA
26	A	A	887.455	1378.77	NA	NA
26	A	A	810.285	1286.166	NA	NA
26	O	O	655.945	900.317	NA	NA
26	O	O	648.228	972.342	NA	NA
26	U	U	598.067	1273.305	NA	NA
26	U	U	594.209	1255.299	NA	NA
26	u	u	416.718	910.606	NA	NA
26	u	u	497.746	1010.927	NA	NA
26	3'	3'	627.649	1888.092	NA	NA
26	3'	3'	607.071	1884.234	NA	NA
27	i	i	368.648	2761.506	NA	NA
27	i	i	361.945	2707.884	NA	NA
27	I	I	467.847	2721.29	NA	NA
27	I	I	455.783	2600.641	NA	NA
27	E	E	595.198	2412.966	NA	NA
27	E	E	509.404	2412.966	NA	NA
27	{	{	922.289	2144.859	NA	NA
27	{	{	884.754	2104.643	NA	NA
27	V	V	757.403	1551.001	NA	NA
27	V	V	737.295	1541.617	NA	NA
27	A	A	954.462	1372.71	NA	NA
27	A	A	898.16	1447.78	NA	NA
27	O	O	737.295	1223.91	NA	NA
27	O	O	737.295	1193.078	NA	NA
27	U	U	482.593	1378.072	NA	NA
27	U	U	522.809	1420.969	NA	NA
27	u	u	394.118	1246.699	NA	NA
27	u	u	375.35	1340.537	NA	NA
27	3'	3'	589.836	1675.671	NA	NA
27	3'	3'	643.458	1555.023	NA	NA
28	i	i	402.345	2715.826	NA	NA
28	i	i	335.706	2803.839	NA	NA
28	I	I	553.224	2200.322	NA	NA
28	I	I	490.358	2238.042	NA	NA
28	E	E	660.097	2263.189	NA	NA
28	E	E	653.81	2200.322	NA	NA
28	{	{	829.836	2011.723	NA	NA
28	{	{	905.275	2112.309	NA	NA
28	V	V	754.396	1571.659	NA	NA
28	V	V	722.963	1471.073	NA	NA
28	A	A	917.849	1458.499	NA	NA
28	A	A	1081.301	1609.379	NA	NA
28	O	O	704.103	1018.435	NA	NA
28	O	O	734.279	1056.155	NA	NA
28	U	U	572.084	1219.607	NA	NA
28	U	U	573.341	1307.62	NA	NA
28	u	u	440.064	1031.008	NA	NA
28	u	u	460.182	970.657	NA	NA
28	3'	3'	565.797	1785.404	NA	NA
28	3'	3'	593.458	1797.978	NA	NA
29	i	i	417.688	2891.201	NA	NA
29	i	i	408.907	2834.757	NA	NA
29	I	I	470.369	2744.446	NA	NA
29	I	I	501.727	2696.782	NA	NA
29	E	E	627.159	2483.548	NA	NA
29	E	E	602.072	2445.919	NA	NA
29	{	{	802.763	2144.882	NA	NA
29	{	{	771.405	2157.426	NA	NA
29	V	V	731.267	1392.292	NA	NA
29	V	V	762.625	1404.835	NA	NA
29	A	A	974.604	1467.551	NA	NA
29	A	A	940.738	1473.823	NA	NA
29	O	O	790.22	1117.597	NA	NA
29	O	O	717.469	1158.989	NA	NA
29	U	U	549.391	1222.959	NA	NA
29	U	U	526.813	1176.55	NA	NA
29	u	u	417.688	1003.454	NA	NA
29	u	u	401.382	1053.626	NA	NA
29	3'	3'	602.072	1655.699	NA	NA
29	3'	3'	605.835	1674.513	NA	NA
30	i	i	338.527	2916.148	NA	NA
30	i	i	278.936	2916.148	NA	NA
30	I	I	546.461	2586.496	NA	NA
30	I	I	456.441	2548.46	NA	NA
30	E	E	716.358	2472.386	NA	NA
30	E	E	684.661	2535.781	NA	NA
30	{	{	760.734	2535.781	NA	NA
30	{	{	748.055	2472.386	NA	NA
30	V	V	798.771	1445.395	NA	NA
30	V	V	798.771	1483.432	NA	NA
30	A	A	925.56	1328.749	NA	NA
30	A	A	925.56	1432.716	NA	NA
30	O	O	760.734	1141.101	NA	NA
30	O	O	811.45	1128.422	NA	NA
30	U	U	568.015	1217.175	NA	NA
30	U	U	570.551	1267.89	NA	NA
30	u	u	422.207	1058.688	NA	NA
30	u	u	355.009	950.918	NA	NA
30	3'	3'	618.73	1648.257	NA	NA
30	3'	3'	621.266	1749.689	NA	NA
31	i	i	375.385	2863.514	NA	NA
31	i	i	360.947	2827.42	NA	NA
31	I	I	589.547	2406.315	NA	NA
31	I	I	589.547	2358.188	NA	NA
31	E	E	770.021	2406.315	NA	NA
31	E	E	667.752	2249.904	NA	NA
31	{	{	838.601	1937.083	NA	NA
31	{	{	822.96	1965.959	NA	NA
31	V	V	761.599	1515.978	NA	NA
31	V	V	794.084	1459.43	NA	NA
31	A	A	878.305	1447.398	NA	NA
31	A	A	904.774	1353.552	NA	NA
31	O	O	610.001	908.384	NA	NA
31	O	O	647.299	981.776	NA	NA
31	U	U	548.64	1251.284	NA	NA
31	U	U	577.516	1347.536	NA	NA
31	u	u	413.886	1155.031	NA	NA
31	u	u	421.105	1203.157	NA	NA
31	3'	3'	648.502	1648.326	NA	NA
31	3'	3'	660.533	1627.872	NA	NA
32	i	i	353.538	3026.865	NA	NA
32	i	i	322.058	2869.468	NA	NA
32	I	I	450.398	2687.856	NA	NA
32	I	I	423.761	2578.889	NA	NA
32	E	E	694.968	2227.773	NA	NA
32	E	E	681.65	2373.062	NA	NA
32	{	{	786.985	2104.277	NA	NA
32	{	{	802.725	2203.558	NA	NA
32	V	V	726.448	1658.722	NA	NA
32	V	V	756.716	1588.499	NA	NA
32	A	A	889.898	1295.498	NA	NA
32	A	A	863.262	1428.68	NA	NA
32	O	O	756.716	1059.403	NA	NA
32	O	O	847.522	1210.746	NA	NA
32	U	U	508.513	1331.821	NA	NA
32	U	U	508.513	1356.036	NA	NA
32	u	u	423.761	1186.531	NA	NA
32	u	u	387.439	1111.465	NA	NA
32	3'	3'	670.753	1791.904	NA	NA
32	3'	3'	586.001	1822.173	NA	NA
33	i	i	344.33	2907.544	NA	NA
33	i	i	361.186	2907.544	NA	NA
33	I	I	481.581	2383.825	NA	NA
33	I	I	490.008	2522.279	NA	NA
33	E	E	632.075	2393.456	NA	NA
33	E	E	665.785	2329.647	NA	NA
33	{	{	770.529	2134.607	NA	NA
33	{	{	770.529	2215.272	NA	NA
33	V	V	809.056	1531.427	NA	NA
33	V	V	792.2	1494.104	NA	NA
33	A	A	939.083	1408.624	NA	NA
33	A	A	948.714	1342.406	NA	NA
33	O	O	762.102	1072.721	NA	NA
33	O	O	722.371	1125.695	NA	NA
33	U	U	589.936	1326.755	NA	NA
33	U	U	592.344	1296.656	NA	NA
33	u	u	385.265	1155.794	NA	NA
33	u	u	385.265	1155.794	NA	NA
